skill_raw;observations;skill_normalized;possible_domains;possible_fields;type_of_skill;too_generic
Pipeline Operations;a pipeline could be both a real hydraulic pipeline and an informational one;Pipeline Operations;Hydraulic Engineering, Information Technology;Engineering, Information Technology;Hard;0
Data Room;most data rooms nowadays are just pieces of software, physical data rooms are extremely rare;Data Room;Data Management;Information Technology;Hard;0
WordPress;WordPress is a web development tool;WordPress;Web Development;Information Technology;Hard;0
job advertisements; this skill has two parts, marketing and HR;Recruitment Advertising;Recruitment, Advertising;Human Resources, Marketing;Soft;0
2ε;difficult skill to normalize, since 2ε is a version of LaTeX we will normalize it in that way;LaTeX;Markup Language;Information Technology;Hard;0
employment practices;the knowledge of labor law;Labor Law Knowledge;Labor Law;Human Resources;Soft;0
ability to lead and supervise a team of technicians; the ability to lead a team;Team Leadership;Team Management;Human Resources;Soft;0
SOP’s;SOP is an acronym, that probability stands for Standard Operating Procedures;Standard Operating Procedures;Business Management;Business Management;Soft;0
A&H;A&H is an acronym that stands for Allen & Heath, a company that produces audio mixing equipment;Mixing consoles;Audio Equipment;Miusic;Hard;0
Hilfsassistentin - Institute of Marketing and Business Management;Hilfsassistentin is a German word that stands for assistant;Assistant;Business Management;Business Management;Soft;0
Vendite;Vendite is an Italian word that stands for sales;Sales;Sales;Sales;Soft;0
Stochastic Modelling;Stochastic Modelling is a statistical skill;Stochastic Modelling;Statistics;Mathematics;Hard;0
plant startup and shutdown;this probably refers to experience in the startup and shutdown of industrial plants;Plant Startup and Shutdown;Plant Operations;Operations Management;Hard;0
patent offices;this skill probably refers to the knowledge of patent law;Patent Law;Intellectual Property and Copyright Law;Legal;0
results driven;too generic;Result Driven;Mental Skills;Personal Skills;Soft;1
Technical Report Writing;the ability to write technical reports is a form of comunication;Technical Report Writing;Written Communication;Communication;Soft;0
Patent Law;Patent Law is a legal skill;Patent Law;Intellectual Property and Copyright Law;Legal;0
professional ethics;too generic;Professional Ethics;Mental Skills;Personal Skills;Soft;1
written communication;this skill is a form of communication;Written Communication;Written Communication;Communication;Soft;0
computer software;too generic, but is related to informatics;Computer Software;Computer Skills;Information Technology;Hard;1
goal orientation;too generic;Result Driven;Mental Skills;Personal Skills;Soft;1
ReSharper;ReSharper is a visual studio extesion for software development;ReSharper;Software Development;Information Technology;Hard;0
63 Licenses;the Series 63 is a securities exam and license;Series 63;Financial Securities;Financial Services;Hard;0
lift 50 lbs. on a daily continuous basis;a physical skill;Physical Strenght;Physical Skills;Personal Skills;Hard;0
production supervisor;this is the ability to supervise a production line;Production Supervision;Production Management;Operations Management;Soft;0
asset protection;the ability to protect financial assets;Asset Protection;Financial Security;Financial Services;Soft;0
customer-first mindset;Prioritizazion
self-expression;Creativity
Greenplum;SQL
Cross-Cultural Communication;Communication
Personal Care;Personal Care
Adobe Dreamweaver;Adobe Dreamweaver
automated deployment;DevOps
key holder;Maintenance
ACSA;Legal Counseling
Facebook Ads;Social Media Marketing
Brand Coordination;Brand Marketing
policy communication;Workplace Policy Conduct
proficiency in Office Package and Outlook;Microsoft Office
Adobe Illustrator;Adobe Illustrator
ability to continuously monitor condition of assigned vehicle;Automotives
LP and security work experience;Business Strategy
Stairway;Structural Engineering
proactive in changes;Proactivity
Cluster Analysis;Business Analysis
cycle count processes;Accounting
QHSE;Business Management
geotechnical survey;Environmental Science
Business Application Platform;Business Management
Formation;People Management
talent review;Talent Acquisition and Recruitment
AS400 system;Computer Science
college degree;Well Educated
documentation;Process Management
TCP/IP;Network Administration
Applied Mathematics;Mathematics
2017a;DevOps
technical resources;Business Planning
Investigator Brochures;Typography
Bayesian Neural Networks;Computer Science
Commissioning;Procurement
traffic directing;Traffic Directing
Sketching;Graphic Design
Route Service;Operations Management
market strategy development;Marketing Management
Relational Model;Database Administration
ability to interpret customer business needs and translate them into technical and operational requirements;Customer Relationship Management
banners;Photo Editing
Marketing Research;Market Research
safety equipment;PPE Management
Microsoft Office;Microsoft Office
Price Policy;Cost Analysis
Submissions;Leadership
Tomcat;Apache Tomcat
e Procurement;Procurement
state certification;Quality Control
planned maintenance;Maintenance
problem escalation;People Management
two wheels;Automotives
technical reports;Reporting
Propositional Attitude;Good Attitude
sales and profit targets;Sales
pattern cutting;Textile Manufacturing and Production
client book;Customer Relationship Management
Blended Retail;Retail
Content Creation;Content Marketing
TurboCAD;TurboCAD
Military;Military Service
Process Improvement;Process Management
Intercompany matching;Accounting
Informatik;Computer Science
Business Transformation;Business Strategy
Java Concurrency;Java
Mobile Apps;Mobile Applications
Functional Development;Business Development
Plant Process Engineering;Energy Management
dairy industry;Food Safety and Regulatory Compliance
network protocols;Computer Science
Consolidation Statements;Consolidation
power markets;Energy Management
problem-solving skills;Problem Solving
HR Process Management;People Management
stock take process efficiency;Inventory Management
container emptying;Operations Management
open availability;Flexibility
bo;Power Engineering
Email Marketing;E-Mail Marketing
Corporate Acts;Corporate Governance
risk experience;Risk Management
timely resolution;People Management
Mac OS;Computer Science
Java;Java
business objectives;Business Planning
Records Management;Account Management
land control;Real Estate and Property Law
fax;Communication
Toyota Production System;Automotives
1wire;1-Wire
2V0;Virtual Machines
3Com Switches;Telecommunications
inventory coordination;Inventory Management
Artifactory;Artifactory
International Economy;Economics
aws rds;AWS
Aeronautics;Aerospace Engineering
client services;Customer Relationship Management
reports writing;Reporting
monthly closing;Accounting
Oracle Data Modeling;SQL
familiarity with federal;Federal and State Law
remote working;Flexibility
Safety and Disaster Prevention;Security Protocols
Internet content copywriting;Copywriting
energy strategy;Energy Management
Flow Assurance;Oil and Gas Management
competitor product and initiative research;Market Research
Discharge;Waste Management
SAP Business Objects;SAP
java and unix-based applications;Java
Affiliate Marketing;Affiliate Marketing
Outlet;Retail
electric cars industry;Automotives
Gas and Power Supply;Oil and Gas Management
reviewing and negotiating;Negotiation
JuMP;Julia
enthusiastic;Good Attitude
web and mobile design;Web Design
suspension;Fleet Maintenance
corporate environment;Corporate and Business Law
Nuclear Chemistry;Nuclear Chemistry
Australian electricity system regulations;Energy Management
container and trash bin emptying;Maintenance
Chariot;People Management
Business Technology;Business Management
Service Mesh;Software Development
aws api gateway;AWS
CVCC;Mechanical Engineering
Knowledge of IoT platforms;Data Collection
customer relationships;Customer Relationship Management
RF;Communication
KPIs;Performance Marketing
interpersonal and team coordination skills;Interpersonal Skills
Credit Decision;Financial Services
industrial;Industrial Engineering
cloud hosting;Cloud-Computing
Canoeing;Canoeing
Business Case Modelling;Business Strategy
XHTML;HTML
deduction management;Accounting
Digital Marketing;Digital Marketing
prioritize;Prioritization Skills
DCF Valuation;Accounting
relational db;Database Administration
Fittings;Technician
802.1q;Network Administration
technical analytical skills;Analytical Skills
ModX;Web Development
well-groomed;Personal Care
Press Monitoring;Brand Marketing
notifications management;Reporting
Cyber Investigation;Cybersecurity
Growth Strategies;Business Development
clientele experience;Customer Relationship Management
PV cells;MEP Engineering
RTV;Process Management
arts industry experience;Art
Product Launch;Product Marketing
Transmission Studies;Communication
IR Certificate Level 1;Investor Relations
Correlation Studies;Research
electroluminescence;Electrical Wiring
Prognosis;Medical Advice
Mongo db;MongoDB
office suite (mainly excel);Microsoft Office
APAC region;Business Development
safety practices;Health and Safety
scikit-learn;Scikit
regional environmental and site permitting processes;Operations Management
crane and rigging requirements;Industrial Engineering
Microsoft Systems Administration;Microsoft Windows
Stressful situations;Resilience
aluminum;Mechanics
Middleware;Computer Science
multi-store experience;Business Administration
Microsoft SQL Server;Microsoft SQL Server
documentation review;Reporting
Table Management;Table Service and Waitstaff Skills
excellent presentation;Communication
Microsoft Dynamics Lifecycle Services;Microsoft Dynamics
progressive;Creativity
International Tax;Accounting
accounting qualification;Accounting
equipment fueling;Automotives
retail industry knowledge;Retail
Multi Tasking;Multitasking
security;Security Protocols
RMS;Microsoft Azure
MySQL;SQL
hybrid working;Business Process
IBM Big Data;Big Data
adherence to company policies;Workplace Policy Conduct
customer centric attitude;Customer Support
design/process review;Concept Design
Finite Mathematics;Mathematics
Wind Power;Energy Management
policies;Workplace Policy Conduct
Cloud Networking;Cloud-Computing
performance standards;Performance Analysis
sales leadership;Leadership
Salesforce Marketing Cloud;Salesforce
business processes knowledge;Business Process
Autodesk Inventor;Autodesk Suite
Telecommunications Engineering;Telecommunications
computer developer;Computer Science
Oil Field Safety;Oil and Gas Management
Options Pricing;Budgeting
ACSM Health Fitness;Health and Safety
technical team leader;Leadership
Integration;Automation
Marvelous Designer;Graphic Design
VM;Virtual Machines
fluent in italian;Italian
Knowledge of grid integration;Web Development
manufacturing operations;Manufacturing
pallet stacking;Rigid Vehicles
bidding strategies;Business Strategy
Azure Active Directory;Active Directory
Bar Management;Restaurant and Food Service Management
rotating equipment;Drilling and Well Operations
Trend Reporting;Reporting
Interaction with Customers;Customer Relationship Management
epidemiology;Epidemiology
Traffic Management;Traffic Directing
luxury customer experience;Customer Support
promotion;Advertising
segregating;Accounting
interdisciplinary collaboration;Operations Management
and clients' needs;Customer Relationship Management
Road Driving;Driver License Ability
vetting;Auditing
Television Production;Entertainment
production optimization;Process Management
Customer Qualification;Customer Support
Team Motivation;Team Management
quality control;Quality Control
flexible working;Flexibility
Inorganic Chemistry;Chemistry
modelling & reporting;Reporting
Facebook Insight;Social Media Marketing
lids;Mechanics
multilingualism;Communication
Adobe 3D Studio Max;3D Studio Max
lifting operations;Automotives
risk governance reporting;Risk Management
closing new business;New Business
learning solutions;Training
qualification & auditing;Auditing
CAPEX;Accounting
Slovenian local labor law;Labor Law Supervision
SAP RDA;Data Collection
manual and automatic controls operation;Driver License Ability
Exploring;Proactivity
Basic vehicle maintenance and inspection;Automotives
Electrotechnical Engineering;Electrotechnical
measurements;Project Management
Chemistry Education;Chemistry
Display Management;Computer Science
Continuous Delivery methodologies;Business Development
Speech Writing;Communication
LOTO;Health and Safety
Rally Track Engineering;Structural Engineering
MTM;Digital Marketing
SCADA;Data Collection
price changes;Cost Analysis
conference calls;Organizational Skills
Lightroom Mobile;Adobe Lightroom
market segments;Marketing Management
entrepreneurial thinking;Entrepreneurship
energy technology knowledge;Energy Management
Steward;Steward
problem-solving;Problem Solving
strong communication skills;Communication
cloud infrastructure;Cloud-Computing
vehicle makes and models;Mechanical Engineering
utilities;Electronics
Redis;Data Management
crawling;Physical Endurance and Skills
Energy Report Preparation;Energy Management
software;Software Development
Freight Shipping;Operations Management
hazardous waste identification;Waste Management
project control;Project Management
Pesquisa;Research
Weightlifting;Physical Endurance and Skills
Training Needs Analysis;People Management
stock room management;Inventory Management
QRA and RAM;Risk Management
DSC;Well Educated
prospects;Environmental Science
safety case management development & implementation;Health and Safety
HHW;Waste Management
Digital Humanities;Digital Marketing
cloud native solutions;Cloud-Computing
organizational leadership;Leadership
Data Studio;Data Analysis
GCSE or equivalent qualification;Well Educated
shear;Mechanics
Oil Pipeline Inspection;Oil and Gas Management
global organization;Business Development
tank monitoring;Rigid Vehicles
italian (for the workplace);Italian
competitor monitoring;Market Research
engineering expertise;Engineering
Digital Media;Digital Marketing
HSEQ policies and procedures;HSEQ
adherence to policies and procedures;Workplace Policy Conduct
11gR1;Database Administration
college degree (preferred);Well Educated
WebSphere Application Server;Web Applications
Talend Studio;Talend
naval architecture;Naval Engineering
Buffer Stock Management;Inventory Management
animation;CAD
Amazon Dynamo;AWS
PLM;Product Management
customer service management;Customer Support
Development of human resources;People Management
Samples;Biochemistry
offer positioning;Business Management
computer proficiency (Microsoft Office and Internet);Microsoft Office
360s;Problem Solving
investment evaluation;Financial Services
consumer lending;Financial Services
Email Research;Communication
DOB (Department of Buildings);Industrial Engineering
WebTrends Analytics;Market Research
reliability based maintenance;Maintenance
technician;Technician
operation review;Marketing Management
such as vehicle models and types;Rigid Vehicles
US energy markets knowledge (PJM;Energy Management
User Experience Design;User Experience Design
administrative support;Accounting
Chinese Politics;Politics
responsibility;Accountability
3D Scanning;Graphic Design
Footwear Production;Apparel and Fashion Design
and perform tasks with emphasis on accuracy and attention to detail;Attention to Detail
paid search;Digital Marketing
Brochures;Typography
Subtrade;Business Process
curing technologies;Auditing
PMs;Business Management
lifting supervision;Operations Management
regression analysis;Statistics
positive feedback from Sales Manager;Sales
strong analytical skills;Analytical Skills
materials analysis;Materials Management
financial trading;Trading
stock maintenance;Inventory Management
Publix Marketing;Brand Marketing
